iso3,indicator_id,value,year,source_id
MKD,hdi_overall,0.815,2023,HDI-2025
NOR,hdi_overall,0.97,2023,HDI-2025
OMN,hdi_overall,0.858,2023,HDI-2025
PAK,hdi_overall,0.544,2023,HDI-2025
PLW,hdi_overall,0.786,2023,HDI-2025
PSE,hdi_overall,0.674,2023,HDI-2025
PAN,hdi_overall,0.839,2023,HDI-2025
PNG,hdi_overall,0.576,2023,HDI-2025
PRY,hdi_overall,0.756,2023,HDI-2025
PER,hdi_overall,0.794,2023,HDI-2025
PHL,hdi_overall,0.72,2023,HDI-2025
POL,hdi_overall,0.906,2023,HDI-2025
PRT,hdi_overall,0.89,2023,HDI-2025
QAT,hdi_overall,0.886,2023,HDI-2025
ROU,hdi_overall,0.845,2023,HDI-2025
RUS,hdi_overall,0.832,2023,HDI-2025
RWA,hdi_overall,0.578,2023,HDI-2025
KNA,hdi_overall,0.84,2023,HDI-2025
LCA,hdi_overall,0.748,2023,HDI-2025
VCT,hdi_overall,0.798,2023,HDI-2025
WSM,hdi_overall,0.708,2023,HDI-2025
SMR,hdi_overall,0.915,2023,HDI-2025
STP,hdi_overall,0.637,2023,HDI-2025
SAU,hdi_overall,0.9,2023,HDI-2025
SEN,hdi_overall,0.53,2023,HDI-2025
SRB,hdi_overall,0.833,2023,HDI-2025
SYC,hdi_overall,0.848,2023,HDI-2025
SLE,hdi_overall,0.467,2023,HDI-2025
SGP,hdi_overall,0.946,2023,HDI-2025
SVK,hdi_overall,0.88,2023,HDI-2025
SVN,hdi_overall,0.931,2023,HDI-2025
SLB,hdi_overall,0.584,2023,HDI-2025
SOM,hdi_overall,0.404,2023,HDI-2025
ZAF,hdi_overall,0.741,2023,HDI-2025
SSD,hdi_overall,0.388,2023,HDI-2025
ESP,hdi_overall,0.918,2023,HDI-2025
LKA,hdi_overall,0.776,2023,HDI-2025
SDN,hdi_overall,0.511,2023,HDI-2025
SUR,hdi_overall,0.722,2023,HDI-2025
SWE,hdi_overall,0.959,2023,HDI-2025
CHE,hdi_overall,0.97,2023,HDI-2025
SYR,hdi_overall,0.564,2023,HDI-2025
TJK,hdi_overall,0.691,2023,HDI-2025
TZA,hdi_overall,0.555,2023,HDI-2025
THA,hdi_overall,0.798,2023,HDI-2025
TLS,hdi_overall,0.634,2023,HDI-2025
TGO,hdi_overall,0.571,2023,HDI-2025
TON,hdi_overall,0.769,2023,HDI-2025
TTO,hdi_overall,0.807,2023,HDI-2025
TUN,hdi_overall,0.746,2023,HDI-2025
TKM,hdi_overall,0.764,2023,HDI-2025
TUV,hdi_overall,0.689,2023,HDI-2025
TUR,hdi_overall,0.853,2023,HDI-2025
UGA,hdi_overall,0.582,2023,HDI-2025
UKR,hdi_overall,0.779,2023,HDI-2025
ARE,hdi_overall,0.94,2023,HDI-2025
GBR,hdi_overall,0.946,2023,HDI-2025
USA,hdi_overall,0.938,2023,HDI-2025
URY,hdi_overall,0.862,2023,HDI-2025
UZB,hdi_overall,0.74,2023,HDI-2025
VUT,hdi_overall,0.621,2023,HDI-2025
VEN,hdi_overall,0.709,2023,HDI-2025
VNM,hdi_overall,0.766,2023,HDI-2025
YEM,hdi_overall,0.47,2023,HDI-2025
ZMB,hdi_overall,0.595,2023,HDI-2025
ZWE,hdi_overall,0.598,2023,HDI-2025
